actor_name,no_of_fb_likes,total_profit,total_imdb_score
Christopher Evan Welch,252.0,1.0562892778825477,6.533333333333334
Nicholas Lea,867.0,0.45648906666666667,6.300000000000001
Louise Sorel,47.0,0.0,7.3
Nathaniel Parker,271.0,0.3223257357142857,7.25
Tatsuo Matsumura,15.0,0.004105546218487395,7.5
Michael Beck,278.0,0.2666829,3.5
Sue Corcoran,14.0,0.11798,4.7
Adrian Gonzalez,69.0,0.0,6.1
Ana Imnadze,18.0,0.00085745,5.6
Kate Ashfield,115.0,0.0,5.4
Steve Byers,222.0,1.11337548,6.1
Mark Christopher Lawrence,258.0,2.153362657142857,5.0
Vauxhall Jermaine,67.0,3.916225,7.7
Sabrina Ferilli,98.0,0.30824847826086954,7.7
Cabrina Collesides,319.0,0.0,5.0
Ted Wass,42.0,0.0,4.8
Anthony Edwards,495.0,0.42489627719298245,6.266666666666667
Casey Kasem,844.0,2.5500479333333335,6.1
Roger Lloyd Pack,539.0,0.701037,6.2
Matthew R. Anderson,252.0,0.0,3.0
Stephen Marcus,230.0,0.5230278518518519,7.4
Lena Olin,541.0,1.1679807416151067,6.242857142857143
Elliott Gould,471.0,2.11932543800905,6.949999999999999
Lydia Hearst,56.0,0.0,3.3
Mark Valley,774.0,0.2973307985714286,6.225
Randeep Hooda,209.0,1.982424857142857,7.4
Tyrone Benskin,228.0,0.20005605,7.0
Gary Dourdan,1000.0,2.146773777020202,6.066666666666666
Felix Avitia,33.0,0.0,8.3
Celina Jade,305.0,1.8e-05,5.7
Marshall Allman,330.0,0.4957533333333333,6.0
Sina Amedson,127.0,0.0,5.9
Michel Bouquet,21.0,0.016808125,7.2
Jean Peters,79.0,0.0,7.1
Kristen Connolly,751.0,1.3726638,6.0
Vanessa Aspillaga,58.0,0.7748386,6.5
Steven Waddington,212.0,0.0,5.7
Jamie Kennedy,490.0,0.38367563002473715,5.585714285714286
Jennifer Ehle,1000.0,2.57648858845679,6.555555555555556
Steve Bastoni,234.0,1.4158051784045582,6.566666666666667
Deborah Mailman,46.0,0.5222495192307692,6.9
Maggie Cheung,576.0,7.562762303987455,7.550000000000001
Samantha McLeod,40.0,0.06690533333333333,3.3
Jordan Carlos,31.0,0.6607015,6.7
Regi Davis,300.0,0.9644014233576642,5.7
Ritchie Montgomery,90.0,0.019593333333333334,6.2
Martin Starr,985.0,1.1787328658558558,6.1499999999999995
Daniel Kaluuya,219.0,0.8715850777777778,6.949999999999999
Jack Hawkins,87.0,3.1555555555555554,7.966666666666666
Valentine,0.0,0.0,5.1
Eva Green,6000.0,0.6324423874630924,6.866666666666667
Amelia Giancarlo,0.0,177.3748923076923,7.3
Terence Yin,30.0,0.0,6.2
Veronica Ferres,30000.0,0.0,6.3
Judith Hill,6.0,1.1974070666666667,7.3
Sylvester Stallone,13000.0,5.566196301890648,6.307407407407408
Shelley Waggener,248.0,3.2657455,7.2
Mary Catherine Garrison,7.0,2.021092625,7.4
Jerry Brown,3.0,0.008352285714285715,7.0
Kristen Johnston,501.0,0.010852688172043011,6.75
Theresa Randle,244.0,3.4635275789473683,6.8
Darryl Cox,96.0,0.148697,7.1
Jimmy Jean-Louis,407.0,1.18597635,4.6
Samira Wiley,646.0,1.4438462,7.1
Karin Dor,51.0,0.0,6.0
Jamison Stalsworth,53.0,0.0,5.2
Tatyana Ali,685.0,1.3739329296296297,6.0600000000000005
Lily James,502.0,1.1980752310526315,7.0
Derek Luke,543.0,1.4760407897959185,6.528571428571429
Kevin Rankin,820.0,1.7447993450121655,6.4
Nancy Kyes,67.0,5.76,4.6
Patrick Kilpatrick,488.0,0.4886623611111111,5.8999999999999995
Johnny Lewis,741.0,0.7991757166666668,5.066666666666666
Kenneth Mitchell,250.0,2.29897075,7.5
Olivia Newton-John,1000.0,30.226666666666667,7.2
Erik Estrada,583.0,3.5008881666666665,6.4
Al Pacino,14000.0,2.103764659906525,6.876190476190475
Felicia Pearson,161.0,0.0,4.1
Matt McCoy,398.0,1.8458564857142856,8.3
Damon Albarn,25.0,0.0,7.3
David Proval,354.0,0.032645,7.050000000000001
Amy Poehler,1000.0,1.77187554288389,5.878571428571429
Devid Striesow,24.0,0.0,6.8
Leighton Meester,3000.0,1.2615677179761904,5.98
Jennifer Butler,455.0,0.2699317142857143,6.5
Roger Allam,326.0,3.361698107664118,7.099999999999999
Nandita Das,113.0,0.0,7.8
Graham McTavish,531.0,1.044884619047619,7.666666666666667
Karra Elejalde,123.0,0.014656923076923076,7.2
Sarain Boylan,50.0,0.0,7.0
Juan Fernández,491.0,0.0,7.5
Tom Guiry,262.0,1.80270382,7.6
Johnny Lever,61.0,0.0,4.3
Charles Grodin,449.0,0.0,8.0
