director_name,no_of_fb_likes,total_profit,total_imdb_score
Corey Grant,21.0,0.0,5.4
Andrew Leman,2.0,0.0,7.3
Danny Provenzano,84.0,0.0,5.4
Ed Gass-Donnelly,8.0,3.0305758,4.0
Michel Hazanavicius,405.0,2.9778063333333336,8.0
Ernest R. Dickerson,226.0,1.6221975384615384,6.7
Barbra Streisand,0.0,2.002817988888889,6.566666666666666
Asger Leth,20.0,0.44287883333333333,6.6
Anand Tucker,14.0,0.04485536842105264,6.566666666666667
Tom Walsh,2.0,0.0,4.8
Dave Carroll,0.0,0.0,7.9
Sydney Pollack,521.0,3.2052196122800587,6.58
Bob Spiers,14.0,1.1698962,3.3
Bobcat Goldthwait,800.0,0.0,6.9
Jamie Travis,15.0,1.4634835294117647,6.0
Christian Alvart,22.0,0.4017976515151515,6.5
Edgar Wright,1000.0,2.0358768,7.6
Tim Boxell,10.0,0.0474664,6.6
Iain Softley,34.0,0.7058199068313954,6.55
Bob Giraldi,34.0,0.0,7.3
Tamara Jenkins,84.0,0.5480318,6.9
Lawrence Guterman,6.0,0.8793801035714286,3.7
Warren P. Sonoda,28.0,0.03536485714285714,4.7
Bruno Barreto,9.0,0.0,6.4
Phil Traill,3.0,2.257334,4.8
S.S. Rajamouli,50.0,0.3604763480251022,8.4
Matt Maiellaro,8.0,7.358557333333334,6.9
Frédéric Auburtin,18.0,0.0,2.0
Steven Zaillian,234.0,0.5381737931818181,6.35
Michael Cohn,2.0,0.0,6.3
Babak Najafi,24.0,1.0400210666666667,5.9
George Lucas,0.0,40.02030957854543,7.4
James Gunn,571.0,0.8633502044275775,7.133333333333333
Jon Turteltaub,226.0,2.0107374238675013,6.5
Penelope Spheeris,122.0,6.0848675,7.0
Fabián Bielinsky,44.0,0.814174,7.9
Daniel Barber,12.0,0.24913438356164383,7.2
Troy Duffy,78.0,0.6418316875,7.1
Harald Reinl,2.0,0.0,6.0
David Cross,0.0,0.0,5.8
Hark Tsui,85.0,0.2878896,4.8
Jason Stone,14.0,0.0,5.8
Steve McQueen,0.0,1.7244124423076923,7.699999999999999
Alan Taylor,230.0,0.8963994068311196,6.85
Charles S. Dutton,534.0,0.15080779487179488,5.3
Noel Marshall,4.0,0.11764705882352941,6.4
Sharon Maguire,11.0,2.7500213846153847,6.7
Jake Paltrow,17.0,0.0013586666666666667,5.9
Hugh Hudson,46.0,5.441677986631016,6.4
Bruce Hunt,2.0,0.4962676,5.1
Hoyt Yeatman,12.0,0.7961350133333334,5.1
Michael O. Sajbel,6.0,0.33477935,6.85
Jeff Burr,155.0,1.2727272727272727,5.9
Henry Koster,28.0,7.2,6.8
Jamie Babbit,91.0,1.1283754166666666,6.5
Stefan Schwartz,13.0,0.10073466666666667,6.6
Christophe Ali,0.0,0.0,5.4
Patrick Lussier,71.0,1.2069766032142857,5.4
Katherine Brooks,57.0,0.0,6.7
Tom Shadyac,293.0,2.7432984405316203,6.314285714285715
Bonnie Hunt,597.0,1.360929125,6.9
Agustín Díaz Yanes,13.0,0.0,6.1
Tom McGrath,96.0,1.1410579769230769,7.3
Gillian Robespierre,9.0,0.0,6.8
Gordon Chan,4.0,0.5392433414634147,5.2
Ethan Maniquis,20.0,2.532376476190476,6.7
David Ray,0.0,0.0,6.8
Jack Heller,0.0,0.0,6.6
Rodrigo Cortés,89.0,0.171443,6.6
Danny Cannon,41.0,1.0471331833333333,5.699999999999999
Michael Martin,0.0,2.944438285714286,3.9
David Oelhoffen,2.0,0.0,7.3
Jorge R. Gutiérrez,34.0,1.00301238,7.3
Joe Cornish,115.0,0.0787826923076923,6.6
Peter Howitt,29.0,0.7806367714285714,6.2250000000000005
Panos Cosmatos,22.0,0.051026363636363634,6.1
Jeff Nathanson,23.0,0.0,5.7
Andrei Tarkovsky,0.0,0.0,8.1
Levan Gabriadze,6.0,31.53732,5.7
John Dahl,131.0,0.8994889826992754,6.800000000000001
Jim Field Smith,14.0,1.5792361,6.4
Michael Cimino,517.0,0.017045454545454544,7.5
Jake Goldberger,2.0,0.0,5.9
Alex Craig Mann,38.0,0.002664,4.6
Harmage Singh Kalirai,11.0,0.0,5.8
John Ford,673.0,0.0,7.55
Arjun Sablok,0.0,0.06690533333333333,3.3
Tom Dey,9.0,1.1603884927272727,5.466666666666666
Jonas Åkerlund,68.0,0.10256025,6.449999999999999
Chris Rock,0.0,1.0599975404040405,5.8
Julien Temple,67.0,0.0,6.6
Tom McCarthy,310.0,6.8640805,7.9
Hugh Wilson,37.0,5.824407260861361,5.825
Saul Dibb,10.0,1.0239808148148148,6.9
Michael Spierig,35.0,1.49879895,6.5
James Melkonian,7.0,0.0,4.6
Kevin Tenney,85.0,3.6846865,5.7
Mike van Diem,4.0,0.15853622222222222,7.8
Stephen Daldry,335.0,1.5853937675,7.4
Leonard Farlinger,0.0,0.0,5.3
François Ozon,341.0,0.1922765625,6.949999999999999
Oren Moverman,38.0,0.010251846153846153,7.2
David Wain,136.0,0.6370913452380952,5.75
Michael Burke,3.0,0.0,7.2
Jorge Blanco,2.0,0.6027722857142858,6.1
Xavier Beauvois,22.0,0.98750725,7.2
Christian Ditter,11.0,1.2319306842105262,6.1
Sacha Bennett,22.0,0.0,4.8
Dan Curtis,45.0,0.0,7.4
Richard Kwietniowski,23.0,0.0505527,7.15
Baz Luhrmann,1000.0,1.4856707284526967,7.12
Fred Schepisi,40.0,0.19386725,7.0
Dean Wright,0.0,0.5240039653287919,6.6
Susan Seidelman,39.0,2.0824993333333333,6.5
Fred Walton,17.0,2.5895526,6.2
Michael Radford,53.0,0.10424236111111111,6.8
Marc Webb,464.0,2.157461094613527,7.133333333333333
Bronwen Hughes,15.0,2.0414862307692307,5.9
Alan Rudolph,18.0,0.014614166666666666,4.6
Ken Annakin,19.0,0.0,7.8
Vincent Paronnaud,10.0,0.6086853424657535,8.0
Robinson Devor,14.0,0.09226666666666666,7.3
Jim Sonzero,2.0,1.01296485,4.7
Rusty Cundieff,38.0,1.9663211666666667,6.1
Jehane Noujaim,63.0,0.0,8.1
Nicholas Ray,117.0,0.0,6.8
Steve Carr,41.0,2.5309740850680384,5.35
Tom Brady,105.0,0.2331318,3.3
Mike Judge,406.0,1.9225482437499999,6.85
Bryan Barber,16.0,0.8366323333333333,6.2
Randall Wallace,130.0,2.9981532670238096,6.625
Michel Leclerc,3.0,0.11170347826086957,7.2
Steve James,23.0,5.626555446428571,7.550000000000001
John Madden,108.0,2.7919415426666667,6.779999999999999
Bart Freundlich,38.0,0.5489981666666667,5.45
David Koepp,192.0,0.8644772747619047,6.459999999999999
Chris Roberts,38.0,0.38586956666666666,4.1
William Bindley,4.0,0.0,6.5
Kabir Sadanand,0.0,0.0,4.7
Cameron Crowe,488.0,0.9570871925777082,6.628571428571428
Peter Ramsey,52.0,0.7131082206896552,7.3
Courtney Solomon,31.0,0.8735867936507937,4.7
Chatrichalerm Yukol,6.0,0.0011356375,6.6
Kirk Loudon,0.0,0.0,5.0
Lars von Trier,3000.0,0.246490526830748,7.5
C. Fraser Press,0.0,0.0,6.7
Sadyk Sher-Niyaz,135.0,0.0,8.7
Hunter Richards,11.0,0.9047857142857143,6.6
Lance Rivera,3.0,0.0,3.6
Tina Gordon Chism,24.0,0.6082556,5.3
Darren Aronofsky,0.0,11.352845815243795,7.483333333333333
Clay Kaytis,6.0,1.4688378630136987,6.3
Wych Kaosayananda,8.0,0.20421202857142856,3.6
Mariette Monpierre,0.0,0.0,6.7
Gary Hardwick,10.0,4.576234833333333,6.3
Tim McCanlies,23.0,0.6901245,7.199999999999999
Jamel Debbouze,326.0,0.0,4.9
Hironobu Sakaguchi,6.0,0.23453890510948905,6.4
Thomas Vinterberg,346.0,0.4762554165182187,7.666666666666667
Andrew Douglas,15.0,3.381854894736842,6.0
Paul Mazursky,150.0,0.16184615384615383,5.9
Gus Van Sant,835.0,2.974511738554026,7.128571428571428
James Cameron,0.0,3.0108294882600366,7.914285714285714
Jonathan Wacks,0.0,0.0,6.1
Eric Bross,49.0,0.13614821875,4.8
Kenneth Johnson,34.0,0.1054018125,2.8
John Simpson,0.0,0.0,6.4
James Mottern,7.0,0.026083,6.7
Barry Cook,43.0,0.4509154,5.2
Davis Guggenheim,49.0,0.1804017222222222,6.533333333333334
Mike Barker,5.0,0.0,6.7
Shawn Levy,189.0,1.9712299888977662,6.033333333333334
Nima Nourizadeh,166.0,4.560356,6.7
Amat Escalante,50.0,0.0,6.8
Måns Mårlind,24.0,0.8903005571428572,6.4
Oren Peli,110.0,3597.2427666666667,5.25
Neil Mcenery-West,0.0,0.0,4.8
Katt Shea,52.0,0.8455755714285714,4.6
Greg Marcks,9.0,0.0,7.2
Sue Corcoran,14.0,0.11798,4.7
Menno Meyjes,43.0,0.2772928148148148,6.8
Peter Weir,608.0,3.505756899430894,7.725
Peter DeLuise,358.0,0.0,5.9
Darren Grant,0.0,9.160386909090908,5.6
Elaine May,124.0,0.2818662941176471,4.2
Scott Frank,71.0,0.9277630357142858,6.5
Mennan Yapo,9.0,2.3926302,5.9
Giuliano Montaldo,4.0,0.0,6.2
Jared Hess,100.0,37.95285909375,6.233333333333334
Lucrecia Martel,33.0,0.21723142857142858,6.7
Bruce McDonald,49.0,0.002318666666666667,6.7
Michael McCullers,5.0,2.008978,6.0
Gavin O'Connor,149.0,1.507105866,6.9799999999999995
Vic Armstrong,179.0,0.874892625,3.1
Chris Stokes,548.0,2.5041560625,3.85
Todd Lincoln,57.0,0.29004694117647056,4.1
Harley Cokeliss,4.0,0.3060858,5.6
Steven E. de Souza,133.0,0.9549577428571429,3.8
James Cox,10.0,0.0704068,6.199999999999999
Richard Dutcher,13.0,0.798341,7.2
Stuart Gordon,216.0,0.42777716250000003,6.1
Timothy Woodward Jr.,764.0,0.0,3.1
Jamal Hill,47.0,0.23370736842105264,7.2
